N,P,K,temperature,humidity,ph,water_oxygen,water_temp,fish_density,label
80,33,59,19.6,69.2,6.2,7.9,26.4,1.2,Lettuce
117,41,50,20.3,79.6,6.1,7.6,26.9,1.0,Lettuce
107,35,45,21.2,73.8,6.4,6.0,18.6,1.0,Lettuce
90,36,50,19.8,60.3,6.2,5.1,22.0,1.7,Lettuce
112,58,59,18.9,60.6,5.9,9.5,19.1,1.3,Lettuce
106,45,37,21.9,80.0,5.7,5.2,26.0,0.9,Lettuce
80,30,53,22.9,64.2,6.4,6.3,19.9,0.6,Lettuce
105,50,30,20.7,74.9,5.9,6.6,21.1,1.8,Lettuce
85,55,60,22.7,61.5,5.6,7.2,20.2,1.3,Lettuce
105,40,37,20.5,78.5,5.9,9.3,26.7,0.7,Lettuce
81,58,51,21.7,71.8,6.2,8.6,26.9,2.0,Lettuce
95,45,57,18.4,77.6,6.2,10.0,25.6,1.4,Lettuce
95,53,51,20.8,63.8,6.1,5.8,22.7,1.4,Lettuce
88,45,51,23.8,64.6,5.8,6.1,24.0,1.9,Lettuce
112,55,36,19.4,68.5,5.9,8.4,25.1,1.6,Lettuce
85,41,46,23.3,60.1,5.7,6.4,18.2,0.6,Lettuce
101,30,38,21.1,68.6,6.3,8.8,27.2,1.3,Lettuce
89,46,37,19.0,67.8,5.9,6.2,20.7,1.6,Lettuce
90,37,57,22.8,76.5,6.1,6.9,19.5,1.9,Lettuce
119,34,56,22.5,73.5,6.5,8.2,27.8,1.0,Lettuce
114,41,48,18.6,61.8,6.0,5.3,19.6,1.1,Lettuce
92,41,38,19.7,69.3,5.7,7.8,18.1,0.8,Lettuce
98,59,47,22.7,76.0,5.6,7.6,19.6,0.9,Lettuce
103,37,35,20.0,68.4,5.9,6.3,18.1,1.4,Lettuce
83,49,51,22.9,69.1,5.9,6.0,27.1,0.6,Lettuce
86,44,48,23.3,60.3,5.7,9.3,26.3,0.7,Lettuce
95,40,39,20.3,79.5,6.5,6.7,21.6,0.8,Lettuce
98,54,55,19.7,67.9,5.9,8.2,26.3,1.9,Lettuce
109,46,49,23.1,70.5,6.3,5.1,19.9,1.0,Lettuce
117,54,31,18.2,62.6,6.3,8.8,18.5,1.1,Lettuce
105,48,35,19.7,71.2,6.2,7.0,20.4,1.7,Lettuce
102,54,32,20.8,68.2,5.6,7.0,24.1,1.7,Lettuce
110,44,31,22.8,68.0,5.7,9.1,21.2,1.1,Lettuce
109,60,59,20.8,61.9,5.8,9.1,26.8,1.5,Lettuce
89,49,37,23.4,60.0,6.1,7.3,21.4,1.8,Lettuce
115,53,50,20.8,75.3,6.2,6.1,24.3,1.5,Lettuce
107,39,48,20.0,77.0,6.0,5.7,24.7,1.5,Lettuce
113,47,59,20.1,71.4,6.3,8.4,20.2,1.2,Lettuce
99,44,32,22.9,60.1,5.6,5.7,27.1,1.4,Lettuce
112,34,57,19.2,61.0,5.6,5.5,26.6,1.5,Lettuce
81,43,40,22.1,73.0,6.4,5.2,19.4,0.8,Lettuce
88,51,54,19.2,70.3,6.2,6.7,26.6,1.9,Lettuce
112,32,57,18.1,60.8,5.5,6.7,20.3,1.4,Lettuce
108,59,40,18.7,65.5,6.1,7.0,20.1,1.2,Lettuce
111,54,30,20.9,78.2,6.3,9.5,18.5,0.8,Lettuce
114,33,58,19.5,65.4,5.9,8.4,21.2,1.5,Lettuce
94,58,56,18.7,74.8,5.8,9.5,20.7,1.5,Lettuce
113,52,40,20.7,75.1,5.5,6.7,23.4,2.0,Lettuce
88,35,51,23.6,65.1,5.8,7.1,20.1,0.8,Lettuce
99,30,31,23.2,60.9,5.6,8.0,26.8,1.9,Lettuce
114,44,43,19.1,77.5,5.6,5.2,21.4,1.2,Lettuce
91,37,33,23.3,71.4,6.4,8.4,19.9,1.2,Lettuce
105,38,34,19.4,74.0,5.8,9.5,18.3,0.7,Lettuce
119,31,44,23.4,62.9,6.3,7.4,26.5,1.8,Lettuce
90,34,36,21.6,73.5,6.1,8.5,18.4,1.0,Lettuce
113,31,36,19.8,78.2,5.5,5.4,24.0,2.0,Lettuce
89,54,37,23.8,74.0,6.1,6.3,22.0,0.9,Lettuce
82,54,59,19.8,70.4,6.2,5.4,25.0,0.6,Lettuce
86,43,41,19.9,76.3,6.0,9.2,20.7,0.6,Lettuce
118,55,44,23.7,71.3,6.5,9.3,23.4,1.5,Lettuce
82,37,44,18.1,65.4,5.9,5.1,23.6,0.8,Lettuce
93,54,56,20.4,61.3,6.1,6.4,20.8,1.6,Lettuce
84,50,40,23.9,73.2,5.7,7.9,19.7,1.2,Lettuce
114,47,45,23.7,62.4,6.4,6.8,21.2,0.6,Lettuce
87,44,41,19.4,62.9,5.9,6.6,24.1,1.8,Lettuce
108,51,55,18.1,77.4,5.5,9.6,26.9,2.0,Lettuce
84,46,41,19.1,69.9,6.2,8.4,23.0,0.7,Lettuce
88,60,45,20.7,69.2,6.0,7.5,25.7,0.5,Lettuce
96,39,31,18.9,79.2,6.5,8.0,23.6,1.2,Lettuce
86,60,33,22.4,67.9,5.8,7.9,21.8,0.6,Lettuce
117,56,31,18.9,73.3,6.4,5.6,26.7,0.6,Lettuce
116,56,47,21.1,79.5,5.7,5.7,21.0,1.8,Lettuce
117,58,40,19.6,69.3,5.7,9.5,21.6,1.8,Lettuce
104,35,53,22.2,66.3,6.4,7.3,26.1,1.4,Lettuce
114,59,54,19.0,69.5,5.9,8.0,23.6,1.3,Lettuce
98,55,52,18.6,79.1,6.2,5.3,24.2,0.6,Lettuce
86,35,59,23.6,61.4,5.8,9.0,23.3,0.5,Lettuce
120,43,57,18.6,61.9,6.1,5.5,25.9,0.8,Lettuce
107,59,52,22.1,65.5,6.1,9.8,22.6,1.8,Lettuce
100,50,57,18.3,60.3,6.4,9.5,25.1,1.2,Lettuce
92,48,43,21.2,60.4,5.9,7.6,20.9,1.8,Lettuce
91,40,53,23.9,78.2,6.5,8.7,18.4,0.7,Lettuce
101,35,53,20.0,77.2,5.8,8.8,25.9,1.9,Lettuce
98,45,40,18.6,74.7,5.8,9.7,23.3,1.3,Lettuce
101,51,59,18.9,65.4,5.6,5.6,25.6,0.9,Lettuce
102,30,60,18.3,72.7,6.5,5.5,19.2,0.9,Lettuce
120,30,32,20.9,74.7,5.8,7.6,19.3,0.7,Lettuce
90,30,32,20.6,67.8,5.9,5.5,26.2,1.6,Lettuce
91,39,60,21.0,67.2,5.5,6.8,26.0,1.7,Lettuce
100,39,32,23.0,67.4,5.6,7.9,20.2,0.9,Lettuce
88,54,51,23.6,71.7,6.3,7.4,26.2,1.2,Lettuce
87,52,49,24.0,66.7,6.1,8.9,21.2,0.5,Lettuce
116,30,45,23.2,72.1,5.7,5.3,22.0,0.5,Lettuce
92,41,41,22.6,77.7,5.6,7.5,22.9,0.7,Lettuce
109,32,51,19.8,74.4,5.6,5.3,24.4,1.6,Lettuce
107,44,33,20.4,77.7,6.4,8.2,23.9,0.9,Lettuce
105,34,60,18.6,60.1,6.1,6.2,25.6,0.8,Lettuce
85,38,36,23.2,79.7,5.7,7.5,23.4,1.3,Lettuce
90,41,47,20.6,73.4,5.6,8.5,20.0,0.6,Lettuce
86,45,55,22.2,70.7,6.2,9.8,27.7,1.2,Lettuce
90,45,37,18.0,73.5,6.4,9.2,27.9,0.9,Lettuce
95,56,51,19.2,68.3,6.3,5.4,27.2,0.6,Lettuce
118,48,41,20.0,64.3,6.4,9.8,19.6,1.2,Lettuce
91,32,59,20.4,78.7,6.4,9.6,23.2,0.9,Lettuce
93,40,45,20.1,77.3,5.7,8.4,21.5,1.5,Lettuce
88,31,38,18.4,63.1,6.1,8.0,20.8,1.1,Lettuce
112,31,44,20.3,63.6,5.7,8.9,21.9,1.5,Lettuce
105,46,42,19.5,72.6,6.4,8.2,23.2,0.8,Lettuce
118,45,32,19.6,79.2,6.3,5.1,22.8,0.6,Lettuce
119,57,46,18.4,60.7,6.2,9.5,22.9,1.1,Lettuce
113,51,41,21.0,71.6,6.3,9.5,27.4,0.6,Lettuce
97,35,47,19.7,61.3,5.6,8.3,19.8,1.6,Lettuce
105,35,50,18.3,63.8,5.7,5.5,26.2,1.9,Lettuce
119,36,57,18.1,75.3,5.6,9.5,24.0,1.4,Lettuce
92,55,41,18.9,70.1,6.3,8.9,27.5,1.8,Lettuce
82,48,48,19.3,73.7,6.4,8.9,19.4,0.7,Lettuce
104,34,45,19.0,74.5,6.5,7.1,20.2,1.6,Lettuce
115,47,60,23.1,75.9,5.8,6.8,22.9,0.8,Lettuce
109,60,31,18.6,60.6,6.0,6.6,23.4,1.7,Lettuce
119,51,35,23.8,64.0,5.9,9.0,21.7,0.9,Lettuce
119,54,57,23.1,70.7,6.4,7.1,22.5,1.7,Lettuce
95,31,59,21.1,60.4,5.7,6.7,23.0,1.3,Lettuce
81,32,48,19.7,77.1,5.9,9.2,27.7,1.2,Lettuce
116,53,35,22.7,74.5,6.2,8.7,24.7,1.8,Lettuce
95,40,38,20.0,61.0,5.9,7.6,18.8,0.7,Lettuce
103,42,60,21.5,63.6,6.3,6.5,21.6,1.2,Lettuce
102,35,42,23.8,67.3,6.4,7.2,21.2,1.9,Lettuce
95,34,42,22.4,64.4,6.4,7.6,23.1,0.8,Lettuce
114,40,40,19.7,61.4,6.5,6.1,22.4,1.1,Lettuce
111,59,59,21.7,74.3,5.9,8.3,26.6,1.7,Lettuce
109,48,49,22.6,79.5,5.7,6.4,19.2,0.9,Lettuce
94,34,44,22.4,60.2,6.4,5.7,26.5,1.6,Lettuce
95,32,34,21.7,72.4,6.5,7.2,26.2,1.1,Lettuce
81,37,32,21.2,66.0,6.3,7.9,18.0,0.9,Lettuce
91,42,49,18.1,68.9,6.4,7.3,19.8,0.9,Lettuce
91,42,39,23.0,62.1,6.1,6.1,23.6,0.6,Lettuce
103,37,51,19.2,77.9,6.1,7.1,19.4,0.7,Lettuce
87,48,50,22.8,64.9,5.7,6.5,18.4,1.6,Lettuce
87,57,58,20.5,72.5,6.1,5.8,18.8,1.1,Lettuce
82,57,38,22.0,65.3,6.0,9.2,22.0,1.3,Lettuce
104,52,60,18.2,70.6,6.3,5.6,27.7,1.8,Lettuce
100,45,56,20.3,67.7,6.4,7.9,21.0,0.6,Lettuce
88,38,47,20.4,73.1,6.5,9.9,23.1,1.6,Lettuce
82,52,42,19.5,79.5,6.1,8.4,19.2,1.3,Lettuce
93,59,52,21.2,63.7,6.1,8.5,24.4,1.2,Lettuce
88,37,55,22.5,65.5,6.0,5.7,24.8,0.9,Lettuce
114,30,44,18.4,66.8,6.2,5.0,21.7,0.6,Lettuce
92,37,47,20.4,64.6,5.7,8.8,25.2,1.8,Lettuce
100,58,43,23.1,77.1,6.4,9.0,25.5,2.0,Lettuce
96,47,40,19.6,60.9,6.2,8.8,20.7,2.0,Lettuce
108,42,59,23.6,64.3,6.2,6.6,18.5,1.8,Lettuce
109,55,55,19.1,70.3,6.3,9.8,21.1,0.9,Lettuce
104,52,34,20.1,73.2,6.2,9.8,24.2,1.4,Lettuce
81,41,52,18.4,69.7,6.1,7.0,24.6,1.3,Lettuce
109,60,31,21.3,75.6,6.2,8.9,21.0,1.9,Lettuce
103,48,39,22.0,78.4,5.9,7.6,19.8,1.9,Lettuce
89,32,50,18.8,71.0,5.6,7.8,18.8,1.1,Lettuce
92,37,52,22.2,70.8,6.1,7.3,26.3,1.9,Lettuce
107,34,34,20.6,73.3,5.5,6.3,26.7,1.4,Lettuce
93,59,35,19.1,69.5,6.3,7.3,19.5,0.8,Lettuce
102,54,50,18.1,62.6,5.9,8.7,26.7,1.2,Lettuce
112,39,41,21.1,68.0,6.5,6.1,23.8,0.7,Lettuce
80,35,53,24.0,69.6,6.4,5.9,20.6,0.7,Lettuce
111,58,32,21.8,68.0,6.1,8.7,21.6,0.9,Lettuce
81,59,58,18.3,73.5,6.1,6.0,22.8,1.1,Lettuce
112,41,49,19.0,76.4,5.8,7.9,22.4,1.4,Lettuce
101,45,46,18.2,61.1,6.5,8.2,20.2,1.9,Lettuce
111,51,47,19.8,64.0,6.1,5.6,18.1,1.4,Lettuce
108,42,49,20.3,76.4,6.4,5.5,21.9,1.3,Lettuce
82,54,45,22.9,73.5,5.7,6.7,26.7,1.6,Lettuce
101,50,42,18.2,78.1,5.6,9.4,26.6,1.4,Lettuce
97,37,43,22.3,72.9,6.1,7.6,25.0,0.8,Lettuce
96,40,39,18.6,77.2,6.3,5.6,25.4,1.8,Lettuce
103,34,51,20.2,66.6,6.0,7.0,19.7,0.8,Lettuce
94,50,60,23.6,79.7,6.5,9.5,20.1,0.7,Lettuce
97,39,60,22.0,74.3,5.5,8.6,21.7,0.7,Lettuce
108,57,46,18.7,68.4,5.9,5.4,23.1,1.3,Lettuce
104,41,39,22.1,69.6,6.4,9.2,26.0,1.1,Lettuce
107,48,48,21.0,68.5,5.8,9.7,23.5,1.2,Lettuce
93,30,31,20.9,67.0,6.3,7.3,20.7,1.4,Lettuce
112,54,45,23.5,71.0,5.6,6.8,19.3,1.2,Lettuce
109,48,52,21.2,78.2,6.1,7.7,20.7,1.1,Lettuce
100,45,33,22.8,75.6,5.6,6.9,22.7,0.8,Lettuce
118,44,40,21.9,72.5,5.9,9.6,19.6,1.9,Lettuce
80,53,54,18.9,72.0,6.4,7.5,18.1,0.5,Lettuce
112,54,53,18.7,72.0,5.9,8.4,27.1,1.9,Lettuce
112,44,51,19.8,71.9,6.5,6.3,26.3,1.1,Lettuce
92,43,42,20.5,64.3,6.2,8.8,19.5,0.7,Lettuce
109,55,45,20.9,73.5,5.7,9.7,26.8,0.7,Lettuce
94,37,46,23.2,73.9,5.9,8.0,26.3,1.9,Lettuce
88,43,47,20.2,61.9,5.6,6.5,21.1,1.3,Lettuce
107,31,58,22.6,61.2,6.0,9.2,21.8,1.7,Lettuce
103,31,37,19.5,73.8,5.9,5.0,23.0,1.4,Lettuce
102,45,32,18.4,79.1,5.6,5.5,27.2,1.1,Lettuce
