N,P,K,temperature,humidity,ph,rainfall,yield,risk
119,65,56,25.52,82.7,5.72,234,6.0,High
102,33,59,30.66,73.35,7.39,106,4.5,High
80,78,28,24.69,56.99,5.77,130,4.32,High
84,52,61,26.21,80.48,5.84,198,5.08,Low
110,60,58,34.85,64.64,6.17,86,4.88,High
72,53,38,29.13,76.11,7.23,136,4.16,High
102,73,30,21.61,50.1,6.58,275,5.29,Low
78,33,77,25.94,66.66,6.06,274,5.17,Low
84,28,32,19.52,83.11,5.68,208,4.27,High
51,77,23,19.48,68.82,5.61,208,4.24,High
89,30,51,22.71,77.2,5.94,166,4.44,Low
85,47,21,24.58,62.0,7.39,174,4.04,High
113,59,79,20.47,59.8,5.69,295,6.26,High
80,64,80,26.09,67.68,6.89,130,5.06,Low
90,53,80,21.49,72.71,5.96,146,5.17,Low
70,50,61,29.95,76.0,7.12,267,5.11,Medium
102,39,76,27.68,59.01,6.37,146,4.94,Low
106,74,21,24.26,60.69,7.34,119,4.55,High
99,44,76,24.31,78.9,7.22,233,5.6,High
52,25,69,30.91,61.33,6.82,175,3.92,Medium
98,75,74,33.54,53.1,6.61,230,5.8,High
87,76,28,18.56,65.43,7.13,224,4.96,Low
91,79,29,24.41,56.36,5.84,143,4.6,Low
67,33,33,19.93,74.3,6.6,195,3.93,Low
68,35,20,31.42,61.94,6.31,299,4.16,Medium
92,54,42,32.33,79.65,6.48,151,4.68,High
62,29,47,27.19,59.75,5.54,141,3.6,High
101,44,59,28.11,63.18,6.54,214,5.1,Medium
120,37,48,32.48,66.57,6.66,103,4.6,High
77,39,54,32.15,60.25,7.39,286,4.87,High
120,80,56,26.34,65.87,6.25,84,5.35,Low
53,50,45,34.47,85.95,5.71,248,4.57,High
94,43,42,27.79,56.53,7.32,155,4.32,High
92,27,26,18.42,51.57,6.1,87,3.37,Low
109,22,63,34.73,83.03,6.76,210,5.11,High
52,61,26,27.08,53.35,5.78,201,3.86,High
96,80,64,20.46,81.65,6.11,232,5.98,Low
75,46,53,28.27,83.73,6.37,259,5.03,Medium
82,28,33,21.32,62.37,6.05,281,4.41,Low
68,76,30,31.16,75.25,6.84,278,5.04,Medium
67,46,43,24.77,50.11,7.48,248,4.34,High
118,64,33,28.29,69.74,6.97,185,5.21,Medium
120,26,46,32.89,82.86,6.49,136,4.71,High
65,33,49,31.88,53.01,6.98,127,3.62,Medium
59,42,65,26.38,76.01,6.92,172,4.39,Low
100,49,28,30.7,82.75,6.91,105,4.3,Medium
115,22,75,28.03,82.09,6.31,84,4.77,Medium
102,57,34,29.08,67.93,5.94,161,4.7,Medium
110,57,21,25.26,80.31,6.36,174,4.81,Low
117,35,37,30.23,67.37,6.19,275,5.2,Medium
92,77,30,25.06,80.04,6.78,178,5.01,Low
70,49,62,24.94,61.38,7.33,240,4.83,High
52,55,50,19.31,83.14,5.86,214,4.52,Low
114,30,43,21.37,76.62,7.26,298,5.37,High
82,25,62,23.76,76.28,7.12,107,4.11,Low
94,52,20,26.82,51.18,6.13,161,4.08,Low
64,29,58,26.55,62.84,6.93,100,3.65,Low
112,71,75,18.05,84.55,6.31,213,6.21,Low
89,32,21,23.05,88.29,7.4,218,4.34,High
54,61,70,34.23,86.25,6.23,184,4.87,High
51,24,69,29.38,60.57,7.37,138,3.7,High
52,80,71,31.16,54.54,5.53,285,5.35,High
85,40,35,33.87,72.54,6.25,144,4.11,High
53,54,44,33.18,85.46,7.29,197,4.36,High
58,70,28,25.18,59.93,7.17,297,4.68,Low
67,40,34,18.64,54.11,7.49,155,3.67,High
118,29,47,25.73,81.82,6.78,193,5.02,Low
55,37,24,27.83,82.35,7.15,146,3.49,Low
112,56,41,31.54,68.5,5.57,223,5.28,High
108,24,48,34.47,52.28,6.04,222,4.63,High
82,35,60,28.42,85.06,6.35,148,4.54,Medium
65,28,65,22.85,69.2,6.23,179,4.22,Low
58,57,72,33.36,74.38,7.03,265,5.19,High
63,59,64,19.53,76.91,6.42,155,4.64,Low
65,56,43,33.62,76.31,6.87,262,4.81,High
95,76,49,33.85,84.55,6.31,96,4.99,High
57,73,72,34.25,70.43,5.64,129,4.72,High
