N,P,K,temperature,humidity,ph,rainfall,label
108,59,58,25.365170607547725,89.458788648591,5.946134345653038,298.83740155258624,Rice
85,37,45,32.861119153342855,84.28598626023808,6.729158064924414,223.9152511149958,Rice
91,56,35,32.33454809946873,80.28061067243968,6.1376817945217095,249.22072758306882,Rice
80,42,53,30.56875291148331,94.67116911075786,5.469164497944448,233.99224337175758,Rice
89,54,43,25.754175042691323,81.25788556950083,6.1939122265018005,235.959660874669,Rice
116,46,50,27.92890219767729,96.02187915797525,5.032476057083478,253.78415266987002,Rice
100,54,52,29.791708723772967,80.512160221939,6.486971605832194,295.54577678648974,Rice
105,46,59,23.816310799389527,97.0010772098295,6.256733706288425,204.8316679622276,Rice
107,42,54,24.626355448379055,92.03225863023805,5.734711411510398,281.6735949088771,Rice
84,37,37,26.634817968961936,98.54461034389094,5.292473291983117,261.9346632787491,Rice
81,48,55,20.842284866349523,94.46815569800007,5.060567769995659,291.15020974297215,Rice
100,36,42,26.730234345737163,98.51075107557755,6.8938336940615175,218.8720116298646,Rice
102,54,42,26.85484134824103,99.58590955460872,6.5961242979160355,231.77084134549983,Rice
100,56,40,32.000550890685325,84.22347328119454,5.649808704979929,217.98913176158408,Rice
115,36,36,31.71434935594712,85.3390794155321,5.949376316677343,229.43072379123802,Rice
93,42,40,33.101794933650865,81.55110992395777,5.968415360777472,297.7337317228786,Rice
109,57,46,31.028679194294476,81.56341267279764,5.13111531406069,215.06805591541087,Rice
104,45,56,28.80773505602491,93.61656131087094,5.830811169260079,271.34405183631196,Rice
95,51,36,30.830856053844748,96.91301700932328,5.0623778807197946,279.04132778136375,Rice
97,43,58,25.96639592472806,92.0932508130719,6.448576461259948,222.41042647291732,Rice
88,54,60,21.768675820669106,91.84400108774396,5.479890896234287,287.65156999632126,Rice
112,53,60,32.35465064063112,82.05696707848122,5.971327610258054,274.42887812060667,Rice
118,37,50,20.760855998464184,82.62215147714807,5.193018873917563,292.45756776287,Rice
91,51,54,34.986441792956676,84.64032980453163,6.222490173253738,274.1049533788482,Rice
111,53,53,29.07175860134498,82.08004105873442,6.430002959047448,286.6207986306381,Rice
109,42,50,25.636269793061018,98.97333362706351,5.201704857445158,238.22305508668916,Rice
113,49,58,27.075242691709953,96.99068321609172,5.546879708935992,227.1074003284435,Rice
114,37,50,29.62160486603522,95.30679801574686,6.3387768830410565,255.79031698592254,Rice
118,37,46,29.130003439369013,92.40798592934989,5.930480560587476,248.31763118313233,Rice
116,39,53,33.17817841516305,87.42235474061233,6.820319818952925,272.6932655813148,Rice
83,42,39,22.121270082208994,93.48265273678581,6.684591571562903,231.17419831485506,Rice
88,50,56,24.253226406953065,82.79201268067592,6.699459748586065,238.48248178506321,Rice
103,55,56,20.201840905584316,89.97607083080638,5.742563839120386,225.50613270152962,Rice
84,48,55,26.958407402646646,97.7233429041199,5.099087482772533,243.98819694075476,Rice
106,50,57,34.34160765211588,82.84993599599977,6.4053269095090055,238.9709709195495,Rice
113,54,48,22.791471624240764,83.11825267372176,5.239795434664705,285.7304207607168,Rice
80,60,43,24.65449740036639,89.17416468333808,6.541856424582248,201.89901607684016,Rice
86,56,56,25.57746555387029,97.63171140429597,6.895685502537547,275.1614444778485,Rice
116,51,47,22.146540332865825,89.14815942351179,6.046867451772625,206.04519046328352,Rice
112,37,43,28.849752463044034,87.10346204362853,5.060668296918394,285.2127046325188,Rice
89,42,37,27.26542391899433,99.9599494304808,5.7796171216106575,216.11133260564392,Rice
108,36,42,27.173096172807455,90.18128148970851,5.320796187586681,284.9902212039917,Rice
88,53,50,22.6636517670381,99.9224545552125,5.643143700550128,248.40997885463997,Rice
114,46,54,31.124616691544702,80.41057501702622,6.828791582274511,274.2620608048835,Rice
106,43,50,21.101834667298757,94.3069334259618,6.948222664952135,268.32017574788154,Rice
100,55,60,29.048997101158307,85.17422015615996,6.600783254737699,263.0656031426743,Rice
100,42,49,23.830514615707564,95.57500111096876,6.302673211348873,207.349627285146,Rice
114,48,45,29.771089693056794,99.88342660980248,6.059919873314115,280.4994144118635,Rice
101,40,39,34.45509008414602,89.75366859875103,6.147579120691878,284.82595325922466,Rice
95,36,36,25.845012147841963,83.27494380370199,5.113639228781906,295.72117047098493,Rice
114,45,46,34.204455093384496,95.68468721856945,6.544029839979203,229.10740412613777,Rice
104,40,55,24.462548636688574,97.4142155659959,6.3587104490905215,217.2722383074417,Rice
113,41,39,26.024417027032086,82.94983827648366,6.271399378505154,273.8355330596925,Rice
110,48,57,28.039969326872907,88.89892037971619,6.678785035795098,246.47245425141045,Rice
94,59,45,30.26896973551989,92.41685118256297,5.0839932248449164,297.42045322845775,Rice
108,47,48,31.095341610026644,85.43989497661454,6.1262385791393354,236.53872309782554,Rice
111,55,53,34.55997257219912,96.57160336840289,6.195083149975871,297.4692193674414,Rice
99,54,39,31.621118522294132,93.96125941634695,6.2454123972761595,211.90172151412756,Rice
111,58,58,29.308479218427102,83.03969760608382,5.792232841365241,279.9636879987358,Rice
117,58,44,29.805742336208848,87.17476114049006,5.123188450654627,244.3623863560145,Rice
120,36,40,20.01537056879003,80.47203959403893,6.753575080928848,259.06635002209805,Rice
91,58,53,30.699266773201508,97.57500295025352,6.302592415966431,247.18793895260495,Rice
103,42,56,33.97864163090601,94.05482825399612,5.803509131572655,289.81118242574087,Rice
120,50,41,32.02468084995492,94.5315863027159,5.039829032363051,219.26116831067313,Rice
104,39,35,32.73038108576253,83.37076267316918,5.809473129213076,253.60467631067255,Rice
90,40,56,20.31847566913074,92.71682032793933,5.947928712872249,247.90663377649145,Rice
116,59,58,22.511199805149815,86.9746729950882,5.085662136458405,240.08697126584502,Rice
96,56,49,29.066226013971978,99.78680049113696,5.0543732579748335,248.66947172663134,Rice
88,44,37,32.34958418295158,98.07477035722965,5.90569153497454,289.45687427784827,Rice
120,41,36,30.086469427098535,92.24203194839876,6.452172189761237,274.7335369715192,Rice
111,43,53,23.71500780504296,93.97617000156188,5.168317410080354,269.00120645980996,Rice
100,40,37,33.6967883275526,83.5044261997438,5.072011253026839,279.1742481640879,Rice
113,44,38,32.17010413297423,89.82136949591974,6.2546080089609,275.53028069437823,Rice
84,52,53,29.930084861770776,97.39462063445738,6.604714746453725,278.0889070377872,Rice
103,46,51,24.559296708345997,81.21075908442108,6.160530401127132,274.866753879671,Rice
115,53,38,28.9929291525994,91.88539232060373,5.101421921880657,253.04414488731163,Rice
89,45,43,23.334418860577685,98.01796006467481,6.998324716473432,230.43523532553758,Rice
109,44,44,21.63067801715179,99.95533922635326,5.776917105715237,240.20183841499488,Rice
119,54,60,29.799905372474633,90.9759899823046,5.696849506420566,288.47657037069325,Rice
118,55,41,34.97961255203599,86.74839493971263,6.6097290732029395,267.2983841072501,Rice
87,60,58,21.862425777582295,99.71926671785258,6.157585560904464,269.52691703794113,Rice
95,48,36,30.79244470249528,88.70589232082341,6.37812046883877,234.46193984443255,Rice
107,52,51,23.742195379626086,82.63320293297524,6.994340406249748,287.0939213578869,Rice
111,60,50,31.959540675957257,90.8042787994991,5.255679930372609,251.43306740334083,Rice
84,41,53,33.94752570162916,89.8354653174153,5.634882688195983,241.861782645218,Rice
102,48,52,26.71754612573682,85.42894572208127,5.884850736511051,262.8674740510126,Rice
91,38,45,22.774826551008818,96.16731336798584,6.5290403062058004,255.70119475359417,Rice
100,48,50,22.259519324286966,90.71782690178992,6.766158227979227,298.97852936190594,Rice
114,58,36,31.65439608817441,89.06889593518468,5.243689650745468,225.34843337505237,Rice
110,58,54,25.048090972864898,91.28590982863449,6.8135804536853595,293.8109107215107,Rice
84,54,52,29.677733243453538,86.21799737124832,6.480971343578435,272.52788470427765,Rice
89,46,51,25.864990173534686,81.3154599368908,6.867758760028025,242.37710368037253,Rice
112,56,41,28.591817461360147,98.4545012050795,5.78271943615141,216.12621657283492,Rice
86,56,46,22.12725187030763,83.78522250006151,5.796165004870901,255.01088645769397,Rice
86,56,35,28.36347916281793,97.15747097115195,5.989035926506678,206.19148917520815,Rice
103,45,42,29.862647707839955,81.97857511947379,6.483889030274764,229.5111943369225,Rice
104,40,50,20.456050596085753,84.40574832271382,5.2483636944270735,205.43330898888027,Rice
94,35,36,30.563903170408125,90.07834754192437,5.400195201576882,241.77069586207406,Rice
118,57,46,26.700576227028495,97.43890322692491,6.88178069090121,215.6895023033178,Rice
120,40,37,33.19556866466684,89.73940539563779,6.779383000470856,244.13288122024335,Rice
105,50,44,23.03212932383353,81.67008304885178,6.523575037707239,233.27444734234146,Rice
120,45,54,29.18468741689228,83.27631394078854,6.016056699561638,274.1581774643256,Rice
105,57,58,31.178243818714073,82.53327657134392,5.544989589315419,244.9032085034044,Rice
83,59,53,28.393236599413054,97.61110491093945,5.187837390229054,292.77084382453455,Rice
120,48,53,24.757743995144754,83.71889626636805,5.367164691951972,264.1056216296202,Rice
114,43,60,25.81471497415442,96.32540342494553,5.6657169464782715,270.0851822834811,Rice
117,58,60,28.195991662101726,86.60822404994063,5.913522483593992,214.11599607314017,Rice
80,53,40,31.578101807053663,87.09788500097005,5.66097093874841,285.9967310572906,Rice
101,43,42,23.845247702940178,85.66916342869213,6.789613451460159,200.5095871703089,Rice
85,45,58,23.21617704611932,80.32464554032639,6.463356267208021,269.95229418203377,Rice
118,52,53,25.615512330354797,98.82358459253882,5.68447221265339,280.6290527865163,Rice
97,47,37,26.736552807475732,93.10975107166722,5.069259799621328,281.6962787445717,Rice
101,51,45,32.52261034760245,93.87395712222389,6.232903572753551,241.7693327530652,Rice
89,45,40,30.67508920308635,81.55562025820433,5.856922183110656,271.4614644207875,Rice
113,55,39,23.658526875351896,94.68326689759658,6.630093506463189,253.15067060613418,Rice
111,46,39,26.7030657310449,84.51212123426546,6.516339292829886,277.44174972537604,Rice
114,50,38,28.83930769338173,82.53462462533403,6.713122671255701,208.07723499878256,Rice
103,56,48,21.677754817813582,92.98942302463925,5.039907334754239,219.09223128702186,Rice
119,49,58,25.628082727578224,81.72208601344558,5.5747985540024345,271.65891674552086,Rice
95,37,57,28.558149429120068,93.41960600483226,6.932557507106694,282.2470848884923,Rice
116,42,35,34.55678613727189,82.69281663638522,6.040957332604735,255.09855980503838,Rice
89,43,45,21.73740653832248,96.38097518937928,6.408015291318598,254.46113783322744,Rice
88,42,41,23.620545047931657,99.40859323452639,5.54594599466358,290.14981692694283,Rice
97,47,56,22.91518582799817,81.28221519715426,6.857002316352502,227.330535987437,Rice
118,37,44,20.078178386615324,94.23841226782206,6.321928443890059,273.67898618706704,Rice
115,52,43,31.599821078615026,93.7582179362403,5.924107016800065,201.0518333798968,Rice
96,39,43,32.043513878579795,93.80574906917023,6.12885124290972,229.7262975184984,Rice
119,42,36,26.604022101720126,99.86267790399312,5.869424773242579,268.80896301921587,Rice
96,46,38,32.62237576171249,96.70334466105787,5.591396718942519,214.66359766494762,Rice
101,59,39,22.823260766870174,85.73597378841501,6.7075492080453545,292.16793646854654,Rice
