N,P,K,temperature,humidity,ph,rainfall,health
98,41,66,23.9,98.0,6.0,83.7,Healthy
70,80,106,18.3,98.3,6.5,35.4,Warning
133,44,43,43.7,29.6,6.8,148.7,Dangerous
111,67,42,13.7,96.4,4.2,172.0,Dangerous
108,46,9,20.0,33.0,7.9,152.3,Warning
67,124,26,39.1,72.3,4.0,107.0,Dangerous
19,55,6,34.9,58.8,5.2,237.9,Dangerous
113,95,102,24.2,92.2,6.7,177.5,Healthy
2,116,190,40.6,68.8,5.0,104.6,Dangerous
140,82,135,25.0,61.1,5.3,138.3,Dangerous
137,29,88,10.3,51.7,4.7,251.6,Dangerous
35,18,98,10.7,38.3,7.6,264.9,Dangerous
89,86,34,10.5,93.8,5.8,126.2,Dangerous
50,92,47,23.1,39.1,6.5,221.2,Warning
101,84,13,14.5,27.4,6.6,56.4,Dangerous
72,40,6,30.2,94.2,6.3,110.2,Warning
118,75,180,27.8,67.0,8.7,266.0,Dangerous
34,32,204,40.6,53.4,5.9,120.2,Dangerous
46,50,105,36.7,66.3,7.5,155.0,Warning
135,120,98,10.9,86.1,4.9,230.8,Dangerous
95,98,44,13.5,96.5,4.9,167.1,Dangerous
88,52,92,15.0,59.0,5.8,109.4,Warning
133,72,188,10.7,49.3,7.3,138.6,Dangerous
82,39,144,41.6,80.3,7.4,186.7,Dangerous
129,3,204,37.5,80.9,8.2,33.0,Dangerous
83,86,122,30.7,33.9,8.8,260.6,Dangerous
127,145,117,14.9,49.4,6.8,186.2,Dangerous
107,97,195,30.1,31.0,6.6,241.3,Warning
60,83,200,34.0,49.2,5.3,234.5,Dangerous
39,87,93,18.7,29.0,6.7,27.9,Warning
111,104,76,19.8,93.4,6.9,164.4,Warning
35,28,147,34.6,67.0,7.1,74.2,Warning
126,131,10,15.2,77.2,8.2,283.7,Dangerous
112,135,88,11.2,97.2,7.7,56.5,Dangerous
75,14,105,26.2,94.4,4.1,24.5,Dangerous
132,52,200,35.0,57.6,4.6,246.7,Dangerous
22,49,149,10.5,36.6,8.1,180.9,Dangerous
86,109,5,44.9,50.4,4.4,188.5,Dangerous
94,107,134,11.8,37.5,8.2,209.3,Dangerous
36,78,18,38.8,95.8,5.7,149.1,Dangerous
53,142,45,34.6,99.3,5.3,232.0,Dangerous
74,82,87,23.5,31.7,4.2,65.2,Dangerous
64,37,77,11.9,78.2,7.4,59.1,Dangerous
112,60,202,39.0,35.8,6.7,247.4,Dangerous
33,89,185,30.8,85.2,6.5,135.9,Warning
116,113,12,21.5,21.0,7.3,239.1,Warning
49,145,177,31.0,53.5,6.0,265.2,Warning
29,95,103,42.2,66.1,6.4,243.8,Dangerous
80,96,85,43.0,85.1,8.3,267.4,Dangerous
87,37,165,36.4,47.1,7.6,93.8,Warning
45,6,176,39.1,51.1,5.4,152.6,Dangerous
17,113,106,29.4,34.1,4.6,121.5,Dangerous
13,44,126,39.8,24.2,8.7,118.6,Dangerous
127,115,176,25.7,27.4,8.0,153.4,Warning
7,99,22,22.2,87.7,5.8,178.2,Warning
26,126,117,12.7,25.3,6.3,40.4,Dangerous
138,111,172,14.3,32.8,7.3,97.4,Dangerous
87,99,34,43.6,69.4,5.5,217.5,Dangerous
126,60,24,15.1,65.2,6.1,271.5,Warning
67,36,57,27.7,20.4,6.9,60.7,Warning
115,130,64,19.7,67.3,4.0,130.1,Dangerous
17,10,135,35.0,31.1,5.3,34.6,Dangerous
27,42,117,44.3,88.8,8.6,214.7,Dangerous
136,8,171,38.3,46.7,4.0,103.9,Dangerous
13,98,25,25.8,78.8,5.6,69.3,Warning
34,126,153,33.0,53.9,8.5,135.9,Dangerous
96,53,169,15.2,54.3,4.1,55.0,Dangerous
53,9,32,43.3,43.2,8.1,21.8,Dangerous
77,35,123,22.5,97.3,5.9,88.7,Warning
31,126,144,32.5,46.4,4.4,193.0,Dangerous
125,115,13,24.5,49.3,8.5,182.1,Dangerous
65,35,194,12.1,99.6,8.0,91.5,Dangerous
10,62,162,31.6,86.6,7.7,155.8,Warning
